id,english,translate,guessing
1,exists,Существует / существовать / быть,0
2,update,Обновление / модернизация,0
3,exec,Выполнение / руководитель,0
4,get,Получить,0
5,state,Состояние / положение,0
6,edit,Редактировать / монтировать / изменить,0
7,cell,Ячейка / клетка,0
8,undefined,Неопределенный,0
9,set,Установка / ставить / настройка / набор / множество,0
10,is,Является / быть / находиться,0
11,handle,Управлять / работать / оперировать / обрабатывать / обращаться,0
12,await,Ожидать / ждать,0
13,catch,Ловить / поймать / схватить,0
14,finally,Наконец / напоследок,0
15,data,Данные,0
16,on,На / по / в / для / к / за,0
